Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,"Crime, Drama, Thriller","Thumindu Dodantenne, Kalana Gunasekara, Andrew Pullen, Yureni Noshika, ",20 min
The Filthy Frank Show,9.9,"Short, Comedy, Fantasy","George Miller, Artemis Holdenberry, Zeeq, Bloody Hairy, ",12 min
Game of Thrones,9.5,"Adventure, Drama, Fantasy","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey, ",57 min
Breaking Bad,9.5,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt, ",49 min
Rick and Morty,9.4,"Animation, Adventure, Comedy","Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland, ",22 min
The Wire,9.3,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce, ",59 min
TVF Pitchers,9.3,"Comedy, Drama","Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan, ",40 min
Sherlock,9.2,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, ",88 min
The Sopranos,9.2,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli, ",55 min
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena, ",23 min
Content Cop,9.2,"Documentary, Comedy, Crime","Ian Carter, Calvin Vail, Roman Atwood, Anthony Brady, ",20 min
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama","Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant, ",80 min
Firefly,9.1,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin, ",44 min
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure","Kent Williams, Iemasa Kayumi, Muriel Hofmann, Lili Troncale, ",24 min
Sarabhai vs Sarabhai,9.1,Comedy,"Satish Shah, Ratna Pathak Shah, Sumeet Raghvan, Rupali Ganguly, ",30 min
Westworld,9.0,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton, ",60 min
House of Cards,9.0,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara, ",51 min
Fargo,9.0,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks, ",53 min
True Detective,9.0,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch, ",55 min
Last Week Tonight with John Oliver,9.0,"Comedy, News, Talk-Show","John Oliver, David Kaye, Noel MacNeal, Alberto Bonilla, ",30 min
The Twilight Zone,9.0,"Fantasy, Horror, Mystery","Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor, ",51 min
